alpha,tau,x0_0,x0_1,x0_2,x0_3,x0_4,x0_5,x0_6,x0_7,x0_8,x0_9,x0_10,x0_11,x0_12,x0_13,x0_14,y0,val_x0,xopt_0,xopt_1,xopt_2,xopt_3,xopt_4,xopt_5,xopt_6,xopt_7,xopt_8,xopt_9,xopt_10,xopt_11,xopt_12,xopt_13,xopt_14,val_xopt,objective_value
0.5,7.48324441607385,1.0,0.0,0.22027972027972026,0.37755102040816324,0.29729729729729726,1.0,0.22491349480968864,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,254,4.913902611215402,1.0,0.7391304347826086,0.22027972027972026,0.37755102040816324,0.29729729729729726,1.0,0.9894328566560808,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,7.483244416073848,5.503649796629
0.5,7.48324441607385,1.0,0.043478260869565216,0.215034965034965,0.3877551020408163,0.1081081081081081,1.0,0.22491349480968864,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,204,4.914155942365127,1.0,0.7826086956521738,0.215034965034965,0.3877551020408163,0.1081081081081081,1.0,0.9892010429402776,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,7.483244416073845,5.503417982913197
0.5,7.48324441607385,1.0,0.08695652173913043,0.20629370629370625,0.39795918367346933,0.13513513513513511,1.0,0.2231833910034603,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,173,4.939634871324088,1.0,0.8260869565217391,0.20629370629370625,0.39795918367346933,0.13513513513513511,1.0,0.9641561387115826,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,7.483244416073845,5.480103182490731
0.5,7.48324441607385,1.0,0.13043478260869565,0.20279720279720276,0.4081632653061224,0.1216216216216216,1.0,0.22491349480968864,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,107,4.967502857201357,1.0,0.8260869565217391,0.20279720279720276,0.4081632653061224,0.1216216216216216,1.0,0.9815230881043835,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,7.483244416073848,5.452261767207738
0.5,7.48324441607385,1.0,0.17391304347826086,0.20629370629370625,0.36734693877551017,0.31081081081081074,1.0,0.20761245674740492,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,78,5.079735095275701,1.0,0.7391304347826086,0.20629370629370625,0.36734693877551017,0.31081081081081074,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,7.499706759724592,5.357604934556942
0.5,7.48324441607385,1.0,0.21739130434782608,0.19930069930069927,0.37755102040816324,0.2027027027027027,1.0,0.20588235294117657,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100,5.0879147245665415,1.0,0.7826086956521738,0.19930069930069927,0.37755102040816324,0.2027027027027027,1.0,0.9757209624425014,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.483244416073848,5.335056000805673
0.5,7.48324441607385,1.0,0.2608695652173913,0.19580419580419578,0.3571428571428571,0.17567567567567566,1.0,0.1920415224913496,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,181,5.13978231151151,1.0,0.2608695652173913,0.19580419580419578,0.0,0.17567567567567566,1.0,0.9913654630304862,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,7.483244416073848,5.156466797681994
0.5,7.48324441607385,1.0,0.30434782608695654,0.1818181818181818,0.3877551020408163,0.1216216216216216,1.0,0.19550173010380628,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,460,5.126899514668313,1.0,0.30434782608695654,0.1818181818181818,0.0,0.1216216216216216,1.0,0.9673704774639398,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,7.483244416073845,5.159623849400949
0.5,7.48324441607385,1.0,0.34782608695652173,0.1783216783216783,0.37755102040816324,0.14864864864864863,1.0,0.18685121107266445,0.0028409090909090914,0.0,0.0,0.0,1.0,0.0,0.0,1.0,930,5.176995134355423,1.0,0.34782608695652173,0.1783216783216783,0.0,0.14864864864864863,1.0,0.9259606095171607,0.0028409090909090914,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,7.483244416073848,5.11666041885266
0.5,7.48324441607385,1.0,0.3913043478260869,0.19755244755244752,0.2755102040816326,0.06756756756756756,0.9635073492143943,0.14186851211072676,0.0653409090909091,0.0,0.0,0.0,1.0,0.0,0.0,1.0,490,5.307551539983159,1.0,0.3913043478260869,0.19755244755244752,0.0,0.06756756756756756,0.9635073492143943,0.8923232058066559,0.0653409090909091,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,7.483244416073841,5.025964897777562
