alpha,tau,x0_0,x0_1,x0_2,x0_3,x0_4,x0_5,x0_6,x0_7,x0_8,x0_9,x0_10,x0_11,x0_12,x0_13,x0_14,y0,val_x0,xopt_0,xopt_1,xopt_2,xopt_3,xopt_4,xopt_5,xopt_6,xopt_7,xopt_8,xopt_9,xopt_10,xopt_11,xopt_12,xopt_13,xopt_14,val_xopt,objective_value
0.5,7.48324441607385,1.0,0.0,0.22027972027972026,0.37755102040816324,0.29729729729729726,1.0,0.22491349480968864,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,254,4.913902611215402,1.0,1.0,0.4183946441630088,0.0,0.29729729729729726,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.483244416073848,2.350752449481763
0.5,7.48324441607385,1.0,0.043478260869565216,0.215034965034965,0.3877551020408163,0.1081081081081081,1.0,0.22491349480968864,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,204,4.914155942365127,1.0,1.0,0.4509467091691147,0.0,0.10810810810810789,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.483244416073852,2.355275090495712
0.5,7.48324441607385,1.0,0.08695652173913043,0.20629370629370625,0.39795918367346933,0.13513513513513511,1.0,0.2231833910034603,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,173,4.939634871324088,1.0,1.0,0.4462964141682425,0.0,0.13513513513513487,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.483244416073852,2.3278219788054146
0.5,7.48324441607385,1.0,0.13043478260869565,0.20279720279720276,0.4081632653061224,0.1216216216216216,1.0,0.22491349480968864,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,107,4.967502857201357,1.0,1.0,0.4486215616686785,0.0,0.1216216216216216,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.483244416073852,2.298639346759214
0.5,7.48324441607385,1.0,0.17391304347826086,0.20629370629370625,0.36734693877551017,0.31081081081081074,1.0,0.20761245674740492,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,78,5.079735095275701,1.0,1.0,0.4160694966625724,0.0,0.31081081081081074,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.483244416073848,2.1955972289187105
0.5,7.48324441607385,1.0,0.21739130434782608,0.19930069930069927,0.37755102040816324,0.2027027027027027,1.0,0.20588235294117657,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100,5.0879147245665415,1.0,1.0,0.43467067666606174,0.0,0.2027027027027024,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.483244416073848,2.1896473404845227
0.5,7.48324441607385,1.0,0.2608695652173913,0.19580419580419578,0.3571428571428571,0.17567567567567566,1.0,0.1920415224913496,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,181,5.13978231151151,1.0,1.0,0.43932097166693396,0.0,0.17567567567567566,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.483244416073848,2.1477485452968543
0.5,7.48324441607385,1.0,0.30434782608695654,0.1818181818181818,0.3877551020408163,0.1216216216216216,1.0,0.19550173010380628,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,460,5.126899514668313,1.0,1.0,0.4486215616686786,0.0,0.1216216216216216,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.483244416073852,2.1547089257005503
0.5,7.48324441607385,1.0,0.34782608695652173,0.1783216783216783,0.37755102040816324,0.14864864864864863,1.0,0.18685121107266445,0.0028409090909090914,0.0,0.0,0.0,1.0,0.0,0.0,1.0,930,5.176995134355423,1.0,1.0,0.44475545833679564,0.0,0.14864864864864846,1.0,1.0,0.0028409090909090914,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.483244416073848,2.109307502394094
0.5,7.48324441607385,1.0,0.3913043478260869,0.19755244755244752,0.2755102040816326,0.06756756756756756,0.9635073492143943,0.14186851211072676,0.0653409090909091,0.0,0.0,0.0,1.0,0.0,0.0,1.0,490,5.307551539983159,1.0,1.0,0.47417466620564985,0.0,0.06756756756756732,0.9635073492143943,1.0,0.0653409090909091,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.483244416073848,2.0189595627980212
